user_id,pv,buy,percent
10818500,2,1,0.5
7921500,2,1,0.5
11683250,2,1,0.5
393250,2,1,0.5
12004000,2,1,0.5
12204750,2,1,0.5
4533750,5,2,0.4
11782250,3,1,0.333333333
7211250,3,1,0.333333333
1244250,6,2,0.333333333
266500,3,1,0.333333333
2988000,19,6,0.315789474
11558000,10,3,0.3
3326250,10,3,0.3
1194750,54,14,0.259259259
1727500,16,4,0.25
9794000,4,1,0.25
6233750,4,1,0.25
3799500,4,1,0.25
5754500,4,1,0.25
10000250,9,2,0.222222222
2378500,14,3,0.214285714
5440500,10,2,0.2
3054250,10,2,0.2
764000,10,2,0.2
8156500,5,1,0.2
5697750,16,3,0.1875
5962750,11,2,0.181818182
11564250,77,14,0.181818182
3675000,28,5,0.178571429
887750,31,5,0.161290323
8216500,103,16,0.155339806
10642000,13,2,0.153846154
267250,14,2,0.142857143
4907500,7,1,0.142857143
2132250,7,1,0.142857143
9982500,7,1,0.142857143
11590500,7,1,0.142857143
252500,7,1,0.142857143
3913250,162,23,0.141975309
6766250,30,4,0.133333333
3216500,15,2,0.133333333
434750,15,2,0.133333333
5256500,15,2,0.133333333
3573750,23,3,0.130434783
7854500,23,3,0.130434783
5952250,31,4,0.129032258
9782000,16,2,0.125
6848000,8,1,0.125
1324500,16,2,0.125
3981750,24,3,0.125
4153000,8,1,0.125
4782250,16,2,0.125
12016750,16,2,0.125
2688750,8,1,0.125
9512750,25,3,0.12
7976750,25,3,0.12
9906500,34,4,0.117647059
5110750,17,2,0.117647059
7703750,17,2,0.117647059
5292000,26,3,0.115384615
6683750,18,2,0.111111111
9123500,63,7,0.111111111
3211250,27,3,0.111111111
8324500,9,1,0.111111111
1118250,9,1,0.111111111
417250,18,2,0.111111111
12173500,27,3,0.111111111
8033500,72,8,0.111111111
12337750,9,1,0.111111111
12384250,9,1,0.111111111
2807500,9,1,0.111111111
11158000,57,6,0.105263158
10069500,29,3,0.103448276
6400000,49,5,0.102040816
1971500,60,6,0.1
10054250,20,2,0.1
5226500,20,2,0.1
1782250,20,2,0.1
4073250,10,1,0.1
3625250,10,1,0.1
282500,10,1,0.1
6713250,20,2,0.1
3581250,30,3,0.1
7588000,82,8,0.097560976
10521000,21,2,0.095238095
10261750,53,5,0.094339623
7657250,32,3,0.09375
3304500,43,4,0.093023256
10628500,65,6,0.092307692
7810250,22,2,0.090909091
9079500,11,1,0.090909091
6264750,11,1,0.090909091
8017000,11,1,0.090909091
6099250,22,2,0.090909091
1528500,22,2,0.090909091
7445000,45,4,0.088888889
12234750,90,8,0.088888889
969750,34,3,0.088235294
2103250,58,5,0.086206897
10312750,128,11,0.0859375
12371000,59,5,0.084745763
2891500,83,7,0.084337349
4658500,12,1,0.083333333
5143250,12,1,0.083333333
2182750,24,2,0.083333333
4503500,84,7,0.083333333
7450000,24,2,0.083333333
38250,12,1,0.083333333
11142000,12,1,0.083333333
4853750,12,1,0.083333333
8910750,145,12,0.082758621
439000,86,7,0.081395349
8799750,37,3,0.081081081
832250,25,2,0.08
8129250,63,5,0.079365079
12028500,13,1,0.076923077
528250,13,1,0.076923077
6957500,26,2,0.076923077
4454500,13,1,0.076923077
4770500,66,5,0.075757576
5011500,66,5,0.075757576
2316250,40,3,0.075
5226250,27,2,0.074074074
6852750,14,1,0.071428571
12239250,14,1,0.071428571
2448250,14,1,0.071428571
12008000,14,1,0.071428571
2968250,14,1,0.071428571
2232500,28,2,0.071428571
3344750,28,2,0.071428571
200250,59,4,0.06779661
299750,15,1,0.066666667
5751500,15,1,0.066666667
2331750,76,5,0.065789474
7163250,46,3,0.065217391
9394500,16,1,0.0625
2733500,16,1,0.0625
746000,16,1,0.0625
7568750,16,1,0.0625
11307500,16,1,0.0625
8243500,130,8,0.061538462
2921750,33,2,0.060606061
5199750,17,1,0.058823529
11535250,34,2,0.058823529
5742000,17,1,0.058823529
6412750,17,1,0.058823529
8909750,17,1,0.058823529
9706000,85,5,0.058823529
1446250,17,1,0.058823529
5108000,52,3,0.057692308
2752000,36,2,0.055555556
5769750,18,1,0.055555556
10229250,18,1,0.055555556
6619500,18,1,0.055555556
691500,108,6,0.055555556
8353250,55,3,0.054545455
7143250,37,2,0.054054054
4256500,37,2,0.054054054
8529750,19,1,0.052631579
5726500,19,1,0.052631579
6848750,19,1,0.052631579
1793250,19,1,0.052631579
9199500,19,1,0.052631579
8940500,19,1,0.052631579
5052000,39,2,0.051282051
19500,79,4,0.050632911
7034000,40,2,0.05
3520000,21,1,0.047619048
10588000,21,1,0.047619048
8049000,42,2,0.047619048
4059500,42,2,0.047619048
5407750,44,2,0.045454545
9972250,22,1,0.045454545
11313000,132,6,0.045454545
6654750,22,1,0.045454545
3009000,135,6,0.044444444
621500,45,2,0.044444444
6849750,23,1,0.043478261
3293750,23,1,0.043478261
791500,23,1,0.043478261
4215750,46,2,0.043478261
2033500,162,7,0.043209877
8314250,24,1,0.041666667
1381000,48,2,0.041666667
10063000,49,2,0.040816327
9173750,124,5,0.040322581
1812000,124,5,0.040322581
12377250,50,2,0.04
11340250,50,2,0.04
5865750,152,6,0.039473684
1953250,52,2,0.038461538
7306250,26,1,0.038461538
2975500,290,11,0.037931034
3588500,53,2,0.037735849
6571000,53,2,0.037735849
11321750,56,2,0.035714286
3952000,28,1,0.035714286
8072250,84,3,0.035714286
10064500,28,1,0.035714286
5440750,58,2,0.034482759
3363000,29,1,0.034482759
8111500,60,2,0.033333333
5899750,30,1,0.033333333
5078750,30,1,0.033333333
4475750,122,4,0.032786885
1617250,31,1,0.032258065
10443000,96,3,0.03125
11503250,32,1,0.03125
599750,33,1,0.03030303
4184250,101,3,0.02970297
3310750,34,1,0.029411765
892500,34,1,0.029411765
3719250,35,1,0.028571429
2187500,70,2,0.028571429
11169500,70,2,0.028571429
7600250,73,2,0.02739726
4625750,37,1,0.027027027
5780000,113,3,0.026548673
10234000,38,1,0.026315789
5155750,38,1,0.026315789
1140750,39,1,0.025641026
9069000,39,1,0.025641026
9394250,39,1,0.025641026
7545250,40,1,0.025
6807250,42,1,0.023809524
1492500,42,1,0.023809524
7476250,43,1,0.023255814
8628250,44,1,0.022727273
10401500,45,1,0.022222222
8435250,135,3,0.022222222
1710500,46,1,0.02173913
8702500,185,4,0.021621622
1074750,140,3,0.021428571
4102750,49,1,0.020408163
2198750,49,1,0.020408163
8149250,198,4,0.02020202
2788750,50,1,0.02
981000,100,2,0.02
776750,54,1,0.018518519
10592000,108,2,0.018518519
